Question,Option 1,Option 2,Option 3,Option 4,Correct Option
"Khoa học dữ liệu được xem là sự giao thoa của những lĩnh vực nào?","Thống kê, Khoa học máy tính, Kiến thức miền (Domain Knowledge)","Toán học, Vật lý, Hoá học","Chỉ lập trình Python","Quản trị kinh doanh, Marketing, Văn học","Thống kê, Khoa học máy tính, Kiến thức miền (Domain Knowledge)"
"Trong quy trình khoa học dữ liệu, bước nào thường diễn ra tốn nhiều thời gian nhất?","Thu thập và làm sạch dữ liệu","Huấn luyện mô hình","Triển khai mô hình vào sản xuất","Trình bày kết quả cho lãnh đạo","Thu thập và làm sạch dữ liệu"
"Thuật ngữ 'feature engineering' nghĩa là gì?","Tạo và biến đổi các đặc trưng (features) để mô hình học tốt hơn","Xây dựng pipeline lưu trữ dữ liệu","Tối ưu thuật toán học máy","Thiết kế giao diện trực quan","Tạo và biến đổi các đặc trưng (features) để mô hình học tốt hơn"
"Trong học máy, phân loại (classification) thuộc loại bài toán nào?","Supervised learning","Unsupervised learning","Reinforcement learning","Semi-supervised learning","Supervised learning"
"Cross-validation trong huấn luyện mô hình nhằm mục đích gì?","Đánh giá độ ổn định và khả năng tổng quát hóa của mô hình","Giảm kích thước dữ liệu","Tăng tốc tính toán","Trực quan hóa dữ liệu","Đánh giá độ ổn định và khả năng tổng quát hóa của mô hình"
"Trong bài toán học máy, 'bias–variance tradeoff' mô tả điều gì?","Sự đánh đổi giữa sai số do giả định đơn giản và sai số do nhiễu dữ liệu","Sự đánh đổi giữa tốc độ tính toán và dung lượng bộ nhớ","Sự đánh đổi giữa độ chính xác và tốc độ huấn luyện","Sự đánh đổi giữa dữ liệu huấn luyện và dữ liệu kiểm thử","Sự đánh đổi giữa sai số do giả định đơn giản và sai số do nhiễu dữ liệu"
"Pipeline trong khoa học dữ liệu thường được hiểu là gì?","Chuỗi các bước xử lý dữ liệu và huấn luyện mô hình tự động hoá","Đường ống truyền dữ liệu vật lý","Một loại cơ sở dữ liệu phân tán","Một công cụ visualization","Chuỗi các bước xử lý dữ liệu và huấn luyện mô hình tự động hoá"
"DIKW pyramid là viết tắt của?","Data – Information – Knowledge – Wisdom","Design – Input – Key – Work","Data – Internet – Keyword – Website","Decision – Impact – Knowledge – Work","Data – Information – Knowledge – Wisdom"
"Trong DIKW pyramid, tầng 'Data' đại diện cho điều gì?","Các con số, sự kiện thô, chưa qua xử lý","Thông tin có ý nghĩa","Tri thức được kiểm chứng","Sự khôn ngoan để ra quyết định","Các con số, sự kiện thô, chưa qua xử lý"
"Ví dụ nào thuộc về 'Information'?","Trung bình nhiệt độ hôm nay: 30°C, cao hơn hôm qua 2°C","Số đo nhiệt độ: 30°C","Kết luận: Nên mặc đồ mát khi ra ngoài","Kinh nghiệm chọn trang phục phù hợp thời tiết","Trung bình nhiệt độ hôm nay: 30°C, cao hơn hôm qua 2°C"
"Trong DIKW pyramid, 'Knowledge' là gì?","Kết nối thông tin để giải thích hiện tượng","Tập hợp dữ liệu rời rạc","Tính toán các giá trị trung bình","Chỉ là khôn ngoan","Kết nối thông tin để giải thích hiện tượng"
"Ví dụ nào minh họa 'Knowledge'?","Hiểu biết rằng ánh nắng mặt trời mạnh làm nhiệt độ tăng","Danh sách nhiệt độ từng giờ","Thông tin rằng nhiệt độ tăng vào buổi trưa","Quyết định uống nhiều nước để tránh mất nước","Hiểu biết rằng ánh nắng mặt trời mạnh làm nhiệt độ tăng"
"Tầng 'Wisdom' trong DIKW pyramid nghĩa là gì?","Tri thức được vận dụng đúng bối cảnh để đưa ra quyết định tốt nhất","Chỉ là dữ liệu thô","Thông tin đã được xử lý","Tập hợp số liệu thống kê","Tri thức được vận dụng đúng bối cảnh để đưa ra quyết định tốt nhất"
"Hãy sắp xếp các ví dụ theo đúng tầng DIKW: 32°C (Data), Trung bình 32°C (Information), Hiểu ánh nắng làm nóng (Knowledge), Quyết định tránh nắng (Wisdom)","Data → Information → Knowledge → Wisdom","Information → Data → Knowledge → Wisdom","Knowledge → Data → Information → Wisdom","Data → Knowledge → Information → Wisdom","Data → Information → Knowledge → Wisdom"
"Khi một nhà khoa học dữ liệu hoàn thành phân tích và đề xuất giải pháp cho doanh nghiệp, họ đang hoạt động ở tầng nào của DIKW?","Wisdom","Data","Information","Knowledge","Wisdom"
